algoritmo,tiempo,memoria
MedicionBuscarLinkedList,15.961749,0.8938446
MedicionBuscarArrayList,9.589798,0.89385414
MedicionBuscarTrie,0.015238774,9.966551
MedicionBuscarHashMap,0.00673267,1.267334
MedicionBuscarTreeMap,0.02979965,1.2673359
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,15.831949,0.8938446
MedicionBuscarArrayList,9.602981,0.89385414
MedicionBuscarTrie,0.014491498,9.966551
MedicionBuscarHashMap,0.007163968,1.267334
MedicionBuscarTreeMap,0.0306821,1.2673359
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,17.120882,0.8938446
MedicionBuscarArrayList,10.911902,0.89385414
MedicionBuscarTrie,0.016841646,9.966551
MedicionBuscarHashMap,0.006743533,1.267334
MedicionBuscarTreeMap,0.030965084,1.2673359
